borough_id,region_name,name,transaction_volume,property_count,average_sale_price,year
5,EMERSON HILL,Staten Island,14,14,900733.5714,2018
4,FAR ROCKAWAY,Queens,271,252,715120.7454,2018
1,FASHION,Manhattan,137,120,11709008.09,2018
2,FIELDSTON,Bronx,37,27,920241.8919,2018
1,FINANCIAL,Manhattan,223,213,2754381.906,2018
3,FLATBUSH,Brooklyn,414,344,1352622.621,2018
3,EAST FLATBUSH,Brooklyn,550,476,730395.9309,2018
3,FLATBUSH-LEFFERTS GARDEN,Brooklyn,116,98,1223682.802,2018
3,FLATBUSH-NORTH,Brooklyn,223,199,875246.1435,2018
1,FLATIRON,Manhattan,258,184,4066249.453,2018
3,FLATLANDS,Brooklyn,153,100,455189.0588,2018
4,FLORAL PARK,Queens,134,118,668879.2015,2018
4,FLUSHING MEADOWS CORONA PARK,Queens,13,6,425923.0769,2018
4,FLUSHING-NORTH,Queens,1601,1321,994569.5978,2018
4,FLUSHING-SOUTH,Queens,573,380,612618.9703,2018
4,FLUSHING,Queens,1087,850.5,803594.2841,2018
2,FORDHAM,Bronx,65,63,2145002.662,2018
4,FOREST HILLS,Queens,785,342,608451.9936,2018
3,FORT GREENE,Brooklyn,156,117,1643177.378,2018
4,FRESH MEADOWS,Queens,84,74,832296.881,2018
3,GERRITSEN BEACH,Brooklyn,92,84,425389.6413,2018
4,GLEN OAKS,Queens,260,46,428498.1385,2018
4,GLENDALE,Queens,276,226,661131.0942,2018
3,GOWANUS,Brooklyn,75,73,7467823.36,2018
1,GRAMERCY,Manhattan,383,174,1929818.982,2018
5,GRANT CITY,Staten Island,97,86,448589.2268,2018
5,GRASMERE,Staten Island,75,74,625360.3733,2018
3,GRAVESEND,Brooklyn,400,348,881219.5775,2018
5,GREAT KILLS,Staten Island,509,489,537600.6935,2018
5,GREAT KILLS-BAY TERRACE,Staten Island,36,35,541825.5278,2018
3,GREENPOINT,Brooklyn,302,299,2375583.825,2018
1,GREENWICH VILLAGE-CENTRAL,Manhattan,427,187,2936224.944,2018
1,GREENWICH VILLAGE-WEST,Manhattan,481,318,3919945.507,2018
1,GREENWICH VILLAGE,Manhattan,454,252.5,3428085.226,2018
5,GRYMES HILL,Staten Island,48,39,433108.75,2018
4,HAMMELS,Queens,47,46,519441.2553,2018
1,HARLEM,Manhattan,495,434,1964246.305,2018
1,EAST HARLEM,Manhattan,115,105,2477593.296,2018
1,HARLEM-UPPER,Manhattan,125,110,2437178.504,2018
1,HARLEM-WEST,Manhattan,23,18,4657431.391,2018
2,HIGHBRIDGE,Bronx,123,103,1176337.39,2018
2,MORRIS HEIGHTS,Bronx,123,103,1176337.39,2018
4,HILLCREST,Queens,81,50,567980.3704,2018
4,HOLLIS,Queens,295,278,698495.7017,2018
4,HOLLIS HILLS,Queens,42,28,733211.619,2018
4,HOLLISWOOD,Queens,85,42,527522.1529,2018
4,HOWARD BEACH,Queens,374,253,407251.5963,2018
5,HUGUENOT,Staten Island,98,98,746903.3163,2018
2,HUNTS POINT,Bronx,54,52,1262275.537,2018
1,INWOOD,Manhattan,81,42,1147691.778,2018
4,JACKSON HEIGHTS,Queens,713,426,804173.1445,2018
4,JAMAICA,Queens,186,136,1345586.602,2018
3,JAMAICA BAY,Brooklyn,1,1,14150000,2018
4,JAMAICA BAY,Queens,16,16,347626.6875,2018
4,JAMAICA ESTATES,Queens,84,80,1110634.452,2018
4,JAMAICA HILLS,Queens,75,68,725365.9867,2018
1,JAVITS CENTER,Manhattan,28,11,7010759.357,2018
3,KENSINGTON,Brooklyn,102,70,2561628.882,2018
4,KEW GARDENS,Queens,227,94,567856.674,2018
2,KINGSBRIDGE HTS/UNIV HTS,Bronx,118,69,912473.2119,2018
2,KINGSBRIDGE/JEROME PARK,Bronx,156,82,650331.5513,2018
2,KINGSBRIDGE,Bronx,156,82,650331.5513,2018
1,KIPS BAY,Manhattan,272,218,1262158.864,2018
4,LAURELTON,Queens,270,241,521088.4778,2018
1,LITTLE ITALY,Manhattan,41,39,6354747.78,2018
4,LITTLE NECK,Queens,199,106,735262.9548,2018
5,LIVINGSTON,Staten Island,21,18,455644.5714,2018
4,LONG ISLAND CITY,Queens,470,450,2891629.749,2018
1,LOWER EAST SIDE,Manhattan,325,224,2991293.908,2018
3,MADISON,Brooklyn,341,320,1100504.381,2018
3,MANHATTAN BEACH,Brooklyn,47,47,1382882.957,2018
1,MANHATTAN VALLEY,Manhattan,172,148,2145922.169,2018
5,MANOR HEIGHTS,Staten Island,88,88,633659.9432,2018
3,MARINE PARK,Brooklyn,245,200,644664.4449,2018
5,MARINERS HARBOR,Staten Island,215,201,444096.6651,2018
4,MASPETH,Queens,248,231,1506649.806,2018
2,MELROSE,Bronx,160,112,1512086.663,2018
2,CONCOURSE,Bronx,160,112,1512086.663,2018
4,MIDDLE VILLAGE,Queens,277,271,821701.4585,2018
5,MIDLAND BEACH,Staten Island,200,193,478966.84,2018
1,MIDTOWN CBD,Manhattan,124,99,20162552.35,2018
1,MIDTOWN EAST,Manhattan,882,381,2093561.29,2018
1,MIDTOWN WEST,Manhattan,545,433,11430675.92,2018
1,MIDTOWN,Manhattan,517,304.3333333,11228929.85,2018
3,MIDWOOD,Brooklyn,299,245,995062.0033,2018
3,MILL BASIN,Brooklyn,85,84,1133302.388,2018
1,MORNINGSIDE HEIGHTS,Manhattan,55,18,1842053.691,2018
2,MORRIS PARK,Bronx,170,161,575411.1059,2018
2,VAN NEST,Bronx,170,161,575411.1059,2018
2,MORRISANIA,Bronx,242,219,965183.4876,2018
2,LONGWOOD,Bronx,242,219,965183.4876,2018
2,MOTT HAVEN,Bronx,126,118,2989941.73,2018
2,PORT MORRIS,Bronx,126,118,2989941.73,2018
2,MOUNT EDEN,Bronx,79,73,1785873.646,2018
2,MOUNT HOPE,Bronx,79,73,1785873.646,2018
1,MURRAY HILL,Manhattan,434,251,2443856.71,2018
3,NAVY YARD,Brooklyn,14,14,5106011,2018
4,NEPONSIT,Queens,14,14,1077235.143,2018
5,NEW BRIGHTON,Staten Island,137,124,447258.8978,2018
5,ST. GEORGE,Staten Island,26,21,1455807.692,2018
5,NEW DORP,Staten Island,115,113,586320.6522,2018
5,NEW DORP BEACH,Staten Island,83,79,389140.1807,2018
5,NEW DORP-HEIGHTS,Staten Island,67,64,628821.1791,2018
5,NEW SPRINGVILLE,Staten Island,366,357,515576.6011,2018
4,OAKLAND GARDENS,Queens,340,108,426119.1529,2018
5,OAKWOOD,Staten Island,38,38,602439.8947,2018
5,OAKWOOD-BEACH,Staten Island,44,44,573839.25,2018
3,OCEAN HILL,Brooklyn,268,259,922303.4254,2018
3,OCEAN PARKWAY-NORTH,Brooklyn,367,259,1123879.485,2018
3,OCEAN PARKWAY-SOUTH,Brooklyn,185,158,1407556.016,2018
3,OLD MILL BASIN,Brooklyn,163,146,521431.0123,2018
4,OZONE PARK,Queens,363,343,586855.741,2018
3,PARK SLOPE,Brooklyn,535,452,1696835.034,2018
3,PARK SLOPE SOUTH,Brooklyn,146,139,1784911.829,2018
2,PARKCHESTER,Bronx,425,390,289168,2018
2,PELHAM GARDENS,Bronx,49,49,1377446.98,2018
2,PELHAM PARKWAY NORTH,Bronx,83,79,612426.7952,2018
2,PELHAM PARKWAY SOUTH,Bronx,104,67,1057329.596,2018
5,PLEASANT PLAINS,Staten Island,32,31,604812.25,2018
5,PORT IVORY,Staten Island,42,39,543327.6905,2018
5,PORT RICHMOND,Staten Island,206,190,407176.9806,2018
5,PRINCES BAY,Staten Island,104,103,737886.3077,2018
3,PROSPECT HEIGHTS,Brooklyn,258,199,2376894.159,2018
4,QUEENS VILLAGE,Queens,438,391,517772.5457,2018
3,RED HOOK,Brooklyn,36,35,12588534.89,2018
4,REGO PARK,Queens,528,284,1496689.284,2018
4,RICHMOND HILL,Queens,498,469,679346.7309,2018
5,RICHMONDTOWN,Staten Island,57,57,786427.614,2018
5,RICHMONDTOWN-LIGHTHS HILL,Staten Island,6,5,939727,2018
4,RIDGEWOOD,Queens,239,237,1152361.653,2018
2,RIVERDALE,Bronx,586,203,506167.2833,2018
4,ROCKAWAY PARK,Queens,90,73,645736.3889,2018
1,ROOSEVELT ISLAND,Manhattan,19,8,1131546.105,2018
5,ROSEBANK,Staten Island,175,157,781086.7371,2018
4,ROSEDALE,Queens,297,278,542487.9529,2018
5,ROSSVILLE,Staten Island,140,136,562051.6357,2018
5,ROSSVILLE-CHARLESTON,Staten Island,31,31,1933193.645,2018
5,ROSSVILLE-PORT MOBIL,Staten Island,4,4,2718750,2018
5,ROSSVILLE-RICHMOND VALLEY,Staten Island,9,9,1688359.667,2018
2,SCHUYLERVILLE,Bronx,209,178,564765.0335,2018
2,PELHAM BAY,Bronx,209,178,564765.0335,2018
3,SEAGATE,Brooklyn,35,34,756988.9714,2018
3,SHEEPSHEAD BAY,Brooklyn,554,399,709792.3773,2018
5,SILVER LAKE,Staten Island,33,33,617825.7273,2018
4,SO. JAMAICA-BAISLEY PARK,Queens,540,493,550931.1833,2018
1,SOHO,Manhattan,190,157,9368827.584,2018
2,SOUNDVIEW,Bronx,351,324,537835.7293,2018
5,SOUTH BEACH,Staten Island,166,161,670441.6506,2018
4,SOUTH JAMAICA,Queens,461,429,489207.3753,2018
4,SOUTH OZONE PARK,Queens,350,333,600855.6429,2018
1,SOUTHBRIDGE,Manhattan,90,35,3482598.156,2018
3,SPRING CREEK,Brooklyn,6,6,151019006.3,2018
4,SPRINGFIELD GARDENS,Queens,410,374,559617.7732,2018
4,ST. ALBANS,Queens,507,457,478183.9665,2018
5,STAPLETON,Staten Island,123,116,483044.374,2018
5,STAPLETON-CLIFTON,Staten Island,17,17,568128.7059,2018
4,SUNNYSIDE,Queens,154,105,1073598.305,2018
5,SUNNYSIDE,Staten Island,45,44,588500.7333,2018
3,SUNSET PARK,Brooklyn,320,306,1381920.466,2018
2,THROGS NECK,Bronx,272,238,515702.2831,2018
5,TODT HILL,Staten Island,27,26,1491759.963,2018
5,TOMPKINSVILLE,Staten Island,45,44,440340.1333,2018
5,TOTTENVILLE,Staten Island,206,200,685340.068,2018
5,TRAVIS,Staten Island,68,68,500427.5147,2018
1,TRIBECA,Manhattan,395,388,5742685.301,2018
1,UPPER EAST SIDE (59-79),Manhattan,1300,643,3108166.478,2018
1,UPPER EAST SIDE (79-96),Manhattan,1212,710,2519423.807,2018
1,UPPER EAST SIDE (96-110),Manhattan,49,23,2918092.429,2018
1,UPPER EAST SIDE,Manhattan,NA,NA,2848560.905,2018
1,UPPER WEST SIDE (59-79),Manhattan,1089,650,3989791.041,2018
1,UPPER WEST SIDE (79-96),Manhattan,671,403,2919720.55,2018
1,UPPER WEST SIDE (96-116),Manhattan,313,176,4308464.668,2018
1,UPPER WEST SIDE,Manhattan,NA,NA,3739325.42,2018
2,VAN CORTLANDT PARK,Bronx,4,1,194875,2018
2,WAKEFIELD,Bronx,163,154,623965.2147,2018
1,WASHINGTON HEIGHTS LOWER,Manhattan,125,85,2874544.928,2018
1,WASHINGTON HEIGHTS UPPER,Manhattan,224,70,1093792.897,2018
1,WASHINGTON HEIGHTS,Manhattan,174.5,77.5,1984168.913,2018
5,WEST NEW BRIGHTON,Staten Island,243,228,466160.5802,2018
5,WEST BRIGHTON,Staten Island,243,228,466160.5802,2018
2,WESTCHESTER SQUARE,Bronx,87,82,2238201.345,2018
5,WESTERLEIGH,Staten Island,129,127,578536.6124,2018
4,WHITESTONE,Queens,301,231,818634.5017,2018
2,WILLIAMSBRIDGE,Bronx,365,333,581183.8082,2018
3,WILLIAMSBURG-CENTRAL,Brooklyn,94,90,993142.8617,2018
3,WILLIAMSBURG-EAST,Brooklyn,222,217,1703273.081,2018
3,WILLIAMSBURG-NORTH,Brooklyn,238,238,1908345.933,2018
3,WILLIAMSBURG-SOUTH,Brooklyn,165,157,1986996.776,2018
3,WILLIAMSBURG,Brooklyn,179.75,175.5,1647939.663,2018
5,WILLOWBROOK,Staten Island,107,107,619133.8692,2018
3,WINDSOR TERRACE,Brooklyn,117,86,1118624.812,2018
4,WOODHAVEN,Queens,264,250,676840.2083,2018
2,WOODLAWN,Bronx,61,41,378952.7869,2018
5,WOODROW,Staten Island,134,130,638487.4328,2018
4,WOODSIDE,Queens,242,141,815615.2893,2018
3,WYCKOFF HEIGHTS,Brooklyn,53,52,1270958.943,2018
